TimeStep,NominalState1,NominalState2,NominalState3,UncompensatedState1,UncompensatedState2,UncompensatedState3,EstimatedState1,EstimatedState2,EstimatedState3,ExactState1,ExactState2,ExactState3,UncompensatedWeightedDeviation,EstimatedWeightedDeviation,ExactWeightedDeviation
76,1.97889811965419,1.77877722861189,0.321075629653186,1.9673120629729,1.76699841506175,0.356643650473736,1.97896755962267,1.77882620115924,0.321084122172153,1.97889811965419,1.77877722861189,0.321075629653186,0.0392181241667938,8.53952135373153e-05,0
77,1.94321986282971,1.7467073298534,0.315286871607535,1.93155941677756,1.73486164954846,0.350842822757231,1.94328967909082,1.7467566406391,0.315295425179798,1.94321986282971,1.7467073298534,0.315286871607535,0.0392493542135643,8.59012659946107e-05,0
78,1.90818488736103,1.7152156000419,0.309602480303119,1.89645139311468,1.70330425855057,0.345146579389468,1.90825507313039,1.71526524296784,0.309611093827931,1.90818488736103,1.7152156000419,0.309602480303119,0.03928024851261,8.63982356660184e-05,0
79,1.87378159042574,1.68429162008199,0.304020574145469,1.86197636498308,1.67231580123555,0.339553034852653,1.87385213904131,1.68434158916001,0.30402924654193,1.87378159042574,1.68429162008199,0.304020574145469,0.0393108044779325,8.68862841681711e-05,0
80,1.83999857924879,1.65392515788002,0.298539305453119,1.8281229158646,1.64188602416476,0.334060337612732,1.84006948416865,1.65397544722989,0.298548035659817,1.83999857924879,1.65392515788002,0.298539305453119,0.0393410199043329,8.7365570331366e-05,0
81,1.80682466716652,1.62410616511985,0.293156859848051,1.79487983578023,1.61200485806214,0.328666669508564,1.8068959219667,1.62415676896736,0.293165646822711,1.80682466716652,1.62410616511985,0.293156859848051,0.0393708929474254,8.7836250238487e-05,0
82,1.77424886978742,1.59482477407115,0.287871455656811,1.76223611744335,1.58266241461556,0.323370245151775,1.7743204681598,1.59487568674618,0.287880298375947,1.77424886978742,1.59482477407115,0.287871455656811,0.0394004221045254,8.82984772690844e-05,0
83,1.74226040124369,1.56607129443414,0.282681343322142,1.73018095250363,1.55384898331464,0.318169311337175,1.74233233699388,1.56612251036879,0.282690240780724,1.74226040124369,1.56607129443414,0.282681343322142,0.0394296061963811,8.87524021410105e-05,0
84,1.71084867052796,1.53783621022363,0.277584804825016,1.69870372787637,1.52555502832813,0.313062146463569,1.71092093757324,1.53788772395038,0.277593756036131,1.71084867052796,1.53783621022363,0.277584804825016,0.0394584443497122,8.91981729496898e-05,0
85,1.68000327791067,1.51011017669487,0.27258015311689,1.66779402215263,1.49777118542314,0.308047059964835,1.68007587027801,1.51016198284477,0.272589157111419,1.68000327791067,1.51011017669487,0.27258015311689,0.0394869359805229,8.96359352106501e-05,0
86,1.64971401143417,1.48288401731291,0.267665731562056,1.63744160208613,1.47048825892801,0.303122391751103,1.64978692325823,1.4829361106138,0.267674787388353,1.64971401143417,1.48288401731291,0.267665731562056,0.0395150807781555,9.00658318997129e-05,0
87,1.61997084347995,1.45614872076666,0.262839913389911,1.6076364191535,1.44369721874005,0.298286511659891,1.62004406900114,1.45620109604144,0.262849020113487,1.61997084347995,1.45614872076666,0.262839913389911,0.0395428786900601,9.04880034941452e-05,0
88,1.59076392740602,1.42989543802874,0.258101101157007,1.5783686061847,1.41738919737915,0.293537818917021,1.5908374609686,1.42994809019363,0.258110257860221,1.59076392740602,1.42989543802874,0.258101101157007,0.0395703299072429,9.09025880121345e-05,0
89,1.56208359425172,1.40411547946154,0.253447726218708,1.54962847406108,1.3915554870877,0.288874741607179,1.56215743030191,1.40416840352444,0.253456932000464,1.56208359425172,1.40411547946154,0.253447726218708,0.0395974348503718,9.1309721052468e-05,0
90,1.53392034950752,1.37880031196996,0.248878248210306,1.52140650847852,1.3661875369773,0.284295736153949,1.53399448259169,1.37885350302874,0.248887502185754,1.53392034950752,1.37880031196996,0.248878248210306,0.0396241941565077,9.17095358347972e-05,0
91,1.5062648699478,1.35394155620081,0.244391154537429,1.49369336677365,1.34127695022237,0.279799286809156,1.50633929471062,1.35399500944174,0.244400455837672,1.5062648699478,1.35394155620081,0.244391154537429,0.0396506086664384,9.21021632369707e-05,0
92,1.47910800052443,1.32953098378903,0.239984959875595,1.46647987481101,1.31681548130043,0.275383905151374,1.47918271170715,1.32958469448517,0.2399943076474,1.47910800052443,1.32953098378903,0.239984959875595,0.0396766794125863,9.24877318344261e-05,0
93,1.45244075131967,1.30556051465031,0.23565820567874,1.43975702392963,1.29279503327916,0.271048129593433,1.45251574375833,1.30561447815993,0.235667599084259,1.45244075131967,1.30556051465031,0.23565820567874,0.0397024076074708,9.28663679383404e-05,0
94,1.42625429455649,1.28202221432001,0.231409459696584,1.41351596794719,1.26920765514966,0.266790524898777,1.42632956318026,1.28207642608507,0.231418897913075,1.42625429455649,1.28202221432001,0.231409459696584,0.0397277946326971,9.3238195633374e-05,0
