Trial,PursuerBiasEstimate,EvaderBiasEstimate
355,0.0399959464585294,-0.0114511300232095
356,0.0399997139547832,-0.0100705721857427
357,0.0400041508821227,-0.0112347939862553
358,0.0400057320115365,-0.0106344937056669
359,0.0399987578268433,-0.00909511516481015
360,0.0399914547167965,-0.0102322944882118
361,0.0400036288109253,-0.00941971173183854
362,0.0400019043778768,-0.00966618932122804
363,0.0399966691500467,-0.00975046888159055
364,0.0400036784905298,-0.00962291516320193
365,0.0400025187419241,-0.0101435538521205
366,0.040009609814166,-0.00984342243216143
367,0.0399927624847241,-0.00964373721873335
368,0.0400067085472935,-0.0110756904956663
369,0.0400013231905477,-0.0106183281443457
370,0.0400140675060528,-0.0104456657401196
371,0.0399957350563045,-0.00929207062073857
372,0.0400063701311087,-0.00985672349887169
373,0.0399964926164932,-0.0109021570905164
374,0.0399930517498276,-0.0104146313670992
375,0.0400098565083312,-0.0105553645928618
376,0.0400035719619433,-0.0102515030256462
377,0.0399986907176931,-0.00923543801012819
378,0.0400058714841574,-0.0106125588962681
379,0.0400027009732411,-0.0112673182183473
380,0.0400006200267076,-0.00963152101837295
381,0.0399916154075273,-0.0101878905883841
382,0.0399963558456762,-0.00993429586188316
383,0.0400052763275851,-0.0108639547850719
384,0.0399934288368159,-0.00995428749507262
385,0.039997426883893,-0.00946564240710408
386,0.0399995109419068,-0.0100791265780931
387,0.0400112835844776,-0.0101394607931826
388,0.0399951529654824,-0.0103771039776447
389,0.0400098511576986,-0.00972815612354538
390,0.0400048464098972,-0.0115000779817243
391,0.0399951063954183,-0.00956425930773988
392,0.0400014955030355,-0.00967422834130698
393,0.0399915801451905,-0.00937391043920036
394,0.0399991740914514,-0.00955163193487463
395,0.0399827849480535,-0.00980065829074357
396,0.0399887541171728,-0.0104182734006686
397,0.0399945546661244,-0.0105981047119568
398,0.0399982357446751,-0.0114659968031466
399,0.040001712426138,-0.0105456288949588
400,0.040002399671919,-0.00896224913456399
401,0.0400112015275611,-0.00927174070457938
402,0.0400034854983131,-0.00913344904996726
403,0.0400142202494288,-0.00969236351293987
404,0.0400000839192947,-0.0107184202917794
405,0.0399962184505434,-0.009371273259979
406,0.0400070888428975,-0.00908925515817254
407,0.0400055004163889,-0.0102169561417607
408,0.0400005190914544,-0.00899650913927768
409,0.0400000243709188,-0.00826962350069608
410,0.0399953301466159,-0.0106574918328143
411,0.0400137768697496,-0.00991775203735907
412,0.0399955945123977,-0.0095115671657131
413,0.0399990521872677,-0.00917714163497953
414,0.0400031435061138,-0.00957274429390495
415,0.040012396706979,-0.00901114657978571
416,0.0399884660740532,-0.0108149962125924
417,0.0399957537061913,-0.00959566396557605
418,0.0399932267908218,-0.010368121512822
419,0.0400055527863167,-0.0100010035954323
420,0.0400082060934923,-0.00971810874892041
421,0.0400065483000501,-0.0101760946085468
422,0.0400007854046136,-0.0102958810002457
423,0.0400043536164838,-0.0100377715924529
424,0.0400107866857199,-0.0108267719023081
425,0.0400028968691228,-0.0102182132180949
426,0.0399903217701897,-0.010671540507571
427,0.0399924087179886,-0.00979429182806269
428,0.0399904390389162,-0.00925051055656216
429,0.0399980527009242,-0.0104234346222422
430,0.0400058239436381,-0.010246068477431
431,0.0400072695443211,-0.00969160214014694
432,0.0400066014778579,-0.00881551024010658
433,0.0399994751140024,-0.00994794139308743
434,0.0399936663161679,-0.0110486657591531
435,0.040006098908516,-0.0109951197528031
436,0.0400133342555594,-0.00956916794649626
437,0.0400000510916877,-0.0101873058824794
438,0.0399922260572458,-0.0100854201233708
439,0.0399950551609226,-0.00958040019829539
440,0.0400095313461571,-0.00991426358308091
441,0.0399940600356703,-0.00990535544933635
442,0.040009311210712,-0.0102762742479755
443,0.0399980356657742,-0.00941916206260864
444,0.0400012406228399,-0.00992322194976983
445,0.0399979136603221,-0.00970656219153063
446,0.0399945905229517,-0.0102920483456349
447,0.0399986523963777,-0.0107855930462883
448,0.0400069976931219,-0.0108212942318717
449,0.0399982668615829,-0.0100085354172284
450,0.0400054856546549,-0.0106540519247991
451,0.0399912261946533,-0.0105899259802392
452,0.040001436629449,-0.00974127585995033
453,0.0400063108116742,-0.00835968093918565
454,0.0400077954071772,-0.0088974696474789
455,0.0400029604530851,-0.0100134571227867
456,0.039999613506289,-0.0105789229353453
457,0.0399958134362566,-0.0101275787192549
458,0.0399994048205047,-0.0090724939432412
459,0.0399863511506613,-0.00926359648333656
460,0.0400048954069531,-0.0104246630226912
461,0.0400023941700986,-0.0100122506279228
462,0.0400093653414788,-0.00914359418298101
463,0.0399992316022291,-0.0104169396420141
464,0.0399974213558491,-0.0103782754661099
465,0.0399963260853279,-0.00929646839171635
466,0.0400010077827348,-0.0106082887127116
467,0.040002808989529,-0.0099688845615268
468,0.0399923911894513,-0.0104840880723201
469,0.0399931148770835,-0.00897081669523891
470,0.0400032401051625,-0.0112041366139381
471,0.040011098401852,-0.00998901815606582
