TimeStep,PursuerPolicyNominal,PursuerCommandNominal,PursuerRealizedNominal,PursuerPolicyUncompensated,PursuerCommandUncompensated,PursuerRealizedUncompensated,PursuerPolicyEstimated,PursuerCommandEstimated,PursuerRealizedEstimated,PursuerPolicyExact,PursuerCommandExact,PursuerRealizedExact,EvaderPolicyNominal,EvaderCommandNominal,EvaderRealizedNominal,EvaderPolicyUncompensated,EvaderCommandUncompensated,EvaderRealizedUncompensated,EvaderPolicyEstimated,EvaderCommandEstimated,EvaderRealizedEstimated,EvaderPolicyExact,EvaderCommandExact,EvaderRealizedExact
43,0.573097373418917,0.573097373418917,0.573097373418917,0.569190878040587,0.569190878040587,0.609190878040587,0.573104574885164,0.533103207856156,0.573103207856156,0.573097373418917,0.533097373418917,0.573097373418917,0.930071117574652,0.930071117574652,0.930071117574652,0.927787736784343,0.927787736784343,0.917787736784343,0.930082931901566,0.940370369454241,0.930370369454241,0.930071117574652,0.940071117574652,0.930071117574652
44,0.562765740930079,0.562765740930079,0.562765740930079,0.558837701487523,0.558837701487523,0.598837701487523,0.562773051369887,0.522771684340879,0.562771684340879,0.562765740930079,0.522765740930079,0.562765740930079,0.913300420664356,0.913300420664356,0.913300420664356,0.910982078591341,0.910982078591341,0.900982078591341,0.913312411852085,0.92359984940476,0.91359984940476,0.913300420664356,0.923300420664356,0.913300420664356
45,0.552620224374349,0.552620224374349,0.552620224374349,0.548671029344123,0.548671029344123,0.588671029344123,0.55262764182353,0.512626274794522,0.552626274794522,0.552620224374349,0.512620224374349,0.552620224374349,0.896832468274359,0.896832468274359,0.896832468274359,0.894479795116202,0.894479795116202,0.884479795116202,0.896844633132946,0.907132070685621,0.897132070685621,0.896832468274359,0.906832468274359,0.896832468274359
46,0.54265749532727,0.54265749532727,0.54265749532727,0.538687526172808,0.538687526172808,0.578687526172808,0.542665017856956,0.502663650827948,0.542663650827948,0.54265749532727,0.50265749532727,0.54265749532727,0.880661735871964,0.880661735871964,0.880661735871964,0.878275350486653,0.878275350486653,0.868275350486653,0.880674071269191,0.890961508821866,0.880961508821866,0.880661735871964,0.890661735871964,0.880661735871964
47,0.532874280658642,0.532874280658642,0.532874280658642,0.528883911958291,0.528883911958291,0.568883911958291,0.532881906374667,0.492880539345659,0.532880539345659,0.532874280658642,0.492874280658642,0.532874280658642,0.864782810052735,0.864782810052735,0.864782810052735,0.862363320159217,0.862363320159217,0.852363320159217,0.864795312913037,0.875082750465711,0.865082750465711,0.864782810052735,0.874782810052735,0.864782810052735
48,0.523267362355571,0.523267362355571,0.523267362355571,0.519256961928043,0.519256961928043,0.559256961928043,0.523275089397857,0.483273722368848,0.523273722368848,0.523267362355571,0.483267362355571,0.523267362355571,0.849190384532609,0.849190384532609,0.849190384532609,0.846738386908406,0.846738386908406,0.836738386908406,0.849203051836025,0.8594904893887,0.8494904893887,0.849190384532609,0.859190384532609,0.849190384532609
49,0.513833577206098,0.513833577206098,0.513833577206098,0.509803506233431,0.509803506233431,0.549803506233431,0.51384140374805,0.473840036719042,0.513840036719042,0.513833577206098,0.473833577206098,0.513833577206098,0.833879256560857,0.833879256560857,0.833879256560857,0.831395337236666,0.831395337236666,0.821395337236666,0.833892085341998,0.844179522894673,0.834179522894673,0.833879256560857,0.843879256560857,0.833879256560857
50,0.504569816370741,0.504569816370741,0.504569816370741,0.500520429518849,0.500520429518849,0.540520429518849,0.504577740618655,0.464576373589646,0.504576373589646,0.504569816370741,0.464569816370741,0.504569816370741,0.818844323685655,0.818844323685655,0.818844323685655,0.81632905813691,0.81632905813691,0.80632905813691,0.818857311032703,0.829144748585378,0.819144748585378,0.818844323685655,0.828844323685655,0.818844323685655
51,0.495473024864438,0.495473024864438,0.495473024864438,0.491404670401339,0.491404670401339,0.531404670401339,0.495481045056913,0.455479678027905,0.495479678027905,0.495473024864438,0.455473024864438,0.495473024864438,0.804080580815856,0.804080580815856,0.804080580815856,0.801534534151211,0.801534534151211,0.791534534151211,0.804093723869574,0.814381161422249,0.804381161422249,0.804080580815856,0.814080580815856,0.804080580815856
52,0.486540200967453,0.486540200967453,0.486540200967453,0.482453220879231,0.482453220879231,0.522453220879231,0.486548315374817,0.446546948345808,0.486546948345808,0.486540200967453,0.446540200967453,0.486540200967453,0.78958311753223,0.78958311753223,0.78958311753223,0.787006844678968,0.787006844678968,0.777006844678968,0.789596413485003,0.799883851037678,0.789883851037678,0.78958311753223,0.79958311753223,0.78958311753223
